Neighbourhood ID,Neighbourhood Name,"Rate per 100,000 people",Case Count,Latitude,Longitude
138,Eglinton East,430.2774851,98,43.7371,-79.2462
47,Don Valley Village,255.0737496,69,43.7874,-79.353
38,Lansing-Westgate,222.7171492,36,43.7590,-79.4226
9,Edenbridge-Humber Valley,656.5819118,102,43.6671,-79.5280
44,Flemingdon Park,606.3921944,133,43.7184,-79.3314
59,Danforth East York,174.6216531,30,43.6838,-79.3212
129,Agincourt North,291.9657885,85,43.8081,-79.2665
99,Mount Pleasant East,125.1862891,21,43.7051,-79.3848
137,Woburn,568.383659,304,43.7765,-79.2317
102,Forest Hill North,281.1182258,36,43.7052,-79.4264
111,Rockcliffe-Smythe,674.278522,150,43.6753,-79.4886
130,Milliken,210.748156,56,43.8260,-79.2973
55,Thorncliffe Park,682.2057987,144,43.7075,-79.3436
7,Willowridge-Martingrove-Richview,740.2058133,164,43.6772,-79.5508
60,Woodbine-Lumsden,241.5766052,19,43.6922,-79.3099
12,Markland Wood,265.3022551,28,43.6322,-79.5750
10,Princess-Rosethorn,217.1749163,24,43.6700,-79.5477
114,Lambton Baby Point,237.946149,19,43.6575,-79.4925
15,Kingsway South,377.521303,35,43.6527,-79.5072
133,Centennial Scarborough,269.4207454,36,43.7817,-79.1483
75,Church-Yonge Corridor,315.8902361,99,43.6619,-79.3794
26,Downsview-Roding-CFB,1320.894671,463,43.7322,-79.4933
61,Taylor-Massey,522.8591468,82,43.6960,-79.2937
124,Kennedy Park,543.1291246,93,43.7249,-79.2540
100,Yonge-Eglinton,135.3981552,16,43.7064,-79.3986
120,Clairlea-Birchmount,789.3566558,213,43.7162,-79.2828
90,Junction Area,292.3569539,42,43.6655,-79.4721
115,Mount Dennis,1581.696461,215,43.6855,-79.4888
32,Englemount-Lawrence,674.9508314,151,43.7181,-79.4351
77,Waterfront Communities-The Island,298.8788251,197,43.6214,-79.3788
70,South Riverdale,125.5560339,35,43.6678,-79.3496
74,North St. James Town,993.8221864,185,43.6709,-79.3733
106,Humewood-Cedarvale,187.9568395,27,43.6945,-79.4281
93,Dovercourt-Wallace Emerson-Junction,243.003413,89,43.6684,-79.4406
42,Banbury-Don Mills,144.4304026,40,43.7448,-79.3409
